env,lr,discount,epsilon,min_eps,states_size,episodes,monitor_reward_eps,display,img_folder,seed,duration_sec,last_reward,mean_rewards
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.9,0.9,0.1,"[5, 50]",5000,10,False,imgs,2019,21.946059703826904,-200.0,-199.9996
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.9,0.9,0.1,"[10, 100]",5000,10,False,imgs,2019,21.995431661605835,-186.2,-199.5736
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.9,0.9,0.1,"[15, 80]",5000,10,False,imgs,2019,21.893656969070435,-200.0,-199.7294
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.9,0.9,0.1,"[10, 200]",5000,10,False,imgs,2019,21.89376974105835,-195.8,-199.3714
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.9,0.99,0.0,"[5, 50]",5000,10,False,imgs,2019,21.71168637275696,-200.0,-199.9534
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.9,0.99,0.0,"[10, 100]",5000,10,False,imgs,2019,21.662887811660767,-164.3,-198.3368
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.9,0.99,0.0,"[15, 80]",5000,10,False,imgs,2019,21.7672336101532,-169.4,-198.8994
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.9,0.99,0.0,"[10, 200]",5000,10,False,imgs,2019,21.673351049423214,-184.3,-199.0598
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.9,0.99,0.1,"[5, 50]",5000,10,False,imgs,2019,21.63031363487244,-200.0,-199.97299999999998
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.9,0.99,0.1,"[10, 100]",5000,10,False,imgs,2019,21.630454063415527,-197.2,-199.8308
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.9,0.99,0.1,"[15, 80]",5000,10,False,imgs,2019,21.52011728286743,-190.1,-199.8598
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.9,0.99,0.1,"[10, 200]",5000,10,False,imgs,2019,21.57294201850891,-200.0,-199.5818
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.99,0.8,0.0,"[5, 50]",5000,10,False,imgs,2019,22.190067291259766,-200.0,-200.0
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.99,0.8,0.0,"[10, 100]",5000,10,False,imgs,2019,21.874053478240967,-149.7,-197.2282
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.99,0.8,0.0,"[15, 80]",5000,10,False,imgs,2019,22.089061498641968,-200.0,-198.7218
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.99,0.8,0.0,"[10, 200]",5000,10,False,imgs,2019,21.974831342697144,-171.1,-197.3036
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.99,0.8,0.1,"[5, 50]",5000,10,False,imgs,2019,21.970195055007935,-200.0,-199.9874
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.99,0.8,0.1,"[10, 100]",5000,10,False,imgs,2019,21.981298685073853,-193.0,-199.3016
